"TEAM NAMES","Series Number","Filename","Name","Description","Gender","attributes","UUID","SHA"
"","11","gbeminyi-the-monk","gbeminyi the monk","He lives in a monastery off the coast. No one has heard him speak in years.","Male","hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none;","c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb","1dda8e5d0f760f1c7e0eb69d9c3b36e7e98629857f95c49c9d6597d4af7453fe"
"","12","henry-the-sportsman","henry the sportsman","He's played every sport known to man. Even cricket.","Male","hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none;","e1225451-bfdf-4a1f-8d37-9cce3a0bd67b","8e01a5119eea5d1213b4ab49429c99bbce627c74e999b78cbf76d71136f3f254"
"","13","mayowa-the-smallie","mayowa the smallie","Mayowa is so small but everyone loves him still.","Male","hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none;","dfbb4163-df24-4d54-b74c-6218a68df8bd","05770d2e314c29b2f646be67ff5d7af309f336fab5a70a15f61c639135496471"
"","14","muyiwa-the-stylish","muyiwa the stylish","Muyiwa has a motto which is never to be caught unfresh.","Male","hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none;","dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7","abc3823543ef83c919c3fe92e042b7c63d2afcb2c3f6e66a255aaf0facb7c9ab"
"","15","nina-paper-chaser","nina paper chaser","Nina loves money. It's all she dreams of. ","Female","hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none;","59524227-dc52-407c-8cca-e9e8c5fb3018","a1f1e132a6fadf43aa715e07677b0b341f31b2aed0ae5ed2a79e9f45a5fde2d6"
"","16","oluwaseun-spicy","oluwaseun spicy","He loves spicy foods. He cooks pepper and sprinkles rice on top.","Male","hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none strength: none; weakness: none;","808f7007-6552-4efa-bd13-4b7c337b102b","6ba66b7a4a136b95a23386c6f1b1744a16e12a7a882dfe984ee0d22f8f73e76c"
"","17","sesan-the-smartie","sesan the smartie","Sesan always comes first in competitions.","Male","hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none;","ba3edda7-8940-4ca4-97ba-826398d5909f","d733389042ef4dba374004b2f1653d98b0d8b419b02fdcfcb2ee998ce5e33640"
"","18","tiwa-london","tiwa london","If she says she's in London and you see her, you're in London too.","Female","hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness;","78da7aeb-8352-4e25-89ac-dc48b5984089","beb49ef6f3910d7f9b8a9cb0ae2101957f7ae29776ad8cdeb2b88923b1aaa317"
"","19","tunde-yoruba-demon","tunde yoruba demon","Tunde derives joy in breaking hearts. It's a lifestyle.","Male","hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity;","53b46bd7-a537-402b-b249-0b4074a8faae","16513eb77d256c1fd28bf7ffefd959c25cc21bfae2661232d567496ed4f1700b"
"","20","yakubu-the-zombie","yakubu the zombie","Yakubu earned his zombie title because na only dust full him head.","Male","hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things;","4adb6781-1614-424e-8f77-fe59ffca2209","56171393f0eeeb24727675190d5b2ed9f9681a10faa083ae104682d4cb0f10c7"
"TEAM CLUTCH","21","abdul-the-vibe","abdul the vibe","Abdul the life of the party and can never be caught un-fresh.","Male","hair: none; eyes: black; teeth: none; clothings: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation;","770f817a-9d9a-4772-9a91-e66dd9d03470","d8fbba1bd42de7f4833052931e88ceb61df5d81b6d4f6bb723944ce5f5e0dc6e"
"","22","emeka-the -clown","emeka the clown","Emeka the funny man, always making silly joke.","Male","hair: none; eyes: black; teeth: none; clothings: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique;","78810fa6-a7ef-4d83-bf57-caf49db4ee69","667677d33a03d9517581a3d4618788e9734a4dd1e0d7da73c51edbe1145b186f"
"","23","salam-the-odogwu","salam the odogwu","Salam is a big time textile marketer always sourcing for quality materials.","Male","hair: none; eyes: brown; teeth: none; clothings: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience ;","f2957ded-022c-4b07-92c6-b345d4816a67","cb37e101abcd7a835db8362bf0cfe724d41b6faa1abd1d53f04e949742d39958"
"","24","charles-the-exporter","charles the exporter","Charles a business man an importer and exporter never to be caught idle.","Male","hair: none; eyes: grey; teeth: none; clothings: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant;","09395e76-19ed-4852-8748-795ee7496a8e","c756827eb511fa17f02148b7e93547d6d2a87cccf745ec515ca670394b610109"
"","25","wole-the-pimp","wole the pimp","Wole knows people and his way around his city.","Male","hair: none; eyes: black; teeth: two white teeth with diastema; clothings :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous;","4d94d4f7-9b69-4e43-9db1-1fe83df92857","15109713b19dcab1df436457138a3187399fef5af05d8501d96048cefeec73d5"
"","26","saro-the-baller","saro the baller","Saro is a baller and is always ready to turnup","Male","hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothings: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable;","d35a7514-8996-42fb-a5f2-5a603ec679c5","da7f25fe971fcf4c6360fe0104ad3f0b792e5c39d30c737bb94446a2c354098d"
"","27","ade-omo-yoruba","ade omo yoruba","Ade is an influential man and he is revered in his town.","Male","hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothings: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination;","92984fa0-310b-4377-8a10-15965d044383","241a91e30c3babb2155ec1a31d6ae83c1a64a05b23fe331963bd15b700661041"
"","28","shola-cool-kid","shola cool kid","Shola prefers to be alone because he hates stress.","Male","hair: none; eyes: none; teeth: none clothings: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful","3ac5c186-bc14-4eb6-8567-cc818465a64f","b521ac55b8d8deeacfd31df13d3c3bfaddd7a3901e2cf3e65275808d48d9da31"
"","29","charlie-the-smoker","charlie the smoker","Charlie uses smoking as a coping mechanism.","Male","hair: none; eyes: black; teeth: none; clothings: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible;","71a0aa22-d111-43b7-8484-43d87310bc42","66665069b97121fa5fd3559b982772407e20037e8576540529d1dee7d8a9042f"
"","30","femi-the-badguy","femi the badguy","Femi is one of the fliest guys in Lagos.","Male","hair: orange; eyes: black; teeth: none; clothings: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance;","e493e3fb-a8a0-455a-854f-0f6474bbc69f","5dcb2f1a286cd4a1d83ead6c3924427708715d14033ad753693b30f71217a229"
"","31","sinzu-money","sinzu money","Sinzu loves spending money on flashy things.","Male","hair: none; eyes: blue; teeth: white complete teeth and a brown tooth; clothings: purple and yellow kaftan; accessories: green-stripped fila cap; expression: strength; strength: generous; weakness: aggressive ;","942f8347-9932-4331-bd15-d0f3a048b54f","f433b794fb11f01833981918612acb1f759310713da196828776bb9f639a0704"
"","32","obinna-the-palmwine tapper","obinna the palmwine tapper","Obinna taps palmwine for a living.","Male","hair: none; eyes: black; teeth: none; clothings: yellow; black and a touch of pink ankara; accessories: cap; expression: happy; strength: contentment; weakness: naive;","0f1af056-2548-4407-bed4-abc11deae05d","709e52f247b02d0a28acfe5148686b0429214b599c474d7bda43a25c9c1ff416"
"","33","aminu-maikudi","aminu maikudi","Aminu is a wealthy man from a family with generational wealth. ","Male","hair: none; eyes: black; teeth: none; clothings: maroon and yellow agbada; accessories: cap; expression: unbothered; strength: confidence; weakness: selfishness;","0129e7a5-e3d0-4675-92d0-1a1e55d11612","98fdc2e224c9aae09205975e60413fe6b7f7548270eb92df8613fbd93c433d5b"
"","34","sabinus-the-town crier","sabinus the town crier","Sabinus delivers messages to his town people.","Male","hair: none; eyes: black; teeth: two white teeth with diastema; clothings: orange ankara with touches of blue; accessories: cap; expression: happy; strength: dexterity; weakness: impatience;","01d4ce96-818e-44b1-8813-68a7d34b35ba","be2702ca53e73214f1feb2780b0bc3260dde2adf8ebef0f871c7580f9b5abd03"
"","35","adisa-ibadan","adisa ibadan","Adisa is an elegant man and he is adored by his people.","Male","hair: none; eyes: black; teeth: none; clothings: kente accessories:abeti-aja cap; expression: mischievous; strength: independent; weakness: bossy;","3a925f27-35f6-4dbf-9960-c6527fae5f3e","29d22f02286526e99d6306766c100697cb1f1467ce5de0c3213cc82536f36875"
"","36","linda-the-navigator","linda the navigator","Linda knows how to make a way for herself and the people around her.","Female","hair: blonde; eyes: none; teeth: none; clothings:multicolored; accessories: glasses; expression: confused; strength: creative; weakness: insecure;","71f335a6-5a4f-4410-9cea-179336f0e498","a5ad0ed41d8f00d8ea2c3a6841b479457e582e7ec4b404ba3b2f77bcc7a13e3e"
"","37","kemi-the-iron lady","kemi the iron lady","Kemi the strongest woman known to the town of Igbede people.","Female","hair: ginger; eyes: none; teeth: none; clothings: ankara; accessories:glasses and a pipe; expression: cool; strength: disciplined; weakness: perfectionist ;","35b11a31-5b92-49f4-8fb1-30f255d22054","813ff66cbcfd6a24f83b7c37b1ad7490fe603adf821db6aba2cf23a7ffc128f2"
"","38","mercy-the-sassy lady","mercy the sassy lady","Mercy is a confident woman and never hesistate to show it.","Female","hair: brown; eyes: none; teeth:none; clothings: ankara; accessories: glasses; expression: sassy; strenght: creative; weakness: sensitive;","7a3c70ac-927f-4a63-a3df-ab86dd27cd0f","c2a8b465b91d7dc26850512077e0fd451c05b6dac267d2ccb462711d7b58f554"
"","39","sandra-money","sandra money","Sandra likes getting and spending money.","Female","hair: brown; eyes: none; teeth:none; clothings:yellow and black; accessories: glasses; expression: confused; strength: brave; weakness: overthinker;","1bd95fb0-7b2e-4354-bebd-22f9cf70a1ca","6492cf98ed271ce7b6b9ac6db5dcc49d46f59512b10b34e5c8dc2c47940850df"
"","40","bimpe-the-fashionista","bimpe the fashionista","Bimpe loves wearing trendy clothes and looking gorgeous.","Female","hair: blonde; eyes: none; teeth:gap teeth; clothings: black cold shoulder shirt; accessories: glasses; expression: shocked; strength: intelligent; weakness: procrastination","92b548b7-998b-46b6-8198-80d407209483","41845c4d838eda87536e97c638fb982c4a06e466a568594d03fdc36c2229f2c8"
"TEAM ENGINE","41","kim-rich-aunty","kim rich aunty","She loves spoiling her nieces and nephew.","Female","hair: pink; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:food;","3344a73c-f15e-4afd-a1b2-3199e27eb08f","374e9e629a48da9d84cdecedd8af00302f9924aefcbd97657903d30fc3f1017f"
"","42","barbra-vampire-bc","barbra vampire bc","She loves drinking the blood of her victims.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:food;","4f31fd99-4918-42a9-a112-fa60ef36d5c6","b0420a715618129ec5136f8ff99bdb5709d9c1977cc6ce55d850b4f9b3251bef"
"","43","jean-art-dolger","jean art dolger","Loves collecting art for charity.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:creative; weakness:food;","5e1105d9-e485-462d-a5bf-1eb931976b13","ec7802d6743319077d9e48f530819811229bcca923cc835defa9219e815b88c5"
"","44","flora-burger- eater","flora burger eater","She loves eating burgers.","Female","hair: blue; eyes:brown; teeth: gap; clothing: stripes; accessories:none; expression: frowning; strength:prayerful; weakness:food;","054dffd1-cdff-417b-b6c2-a679dabd087b","6018524ac147746f4367422b593e0c92889101f91b813a53bbcde921b06f222f"
"","45","jessie-lord-rings","jessie lord rings","She seeks her ( precious ).","Female","hair: blue; eyes:brown; teeth: none; clothing: satin; accessories:none; expression: smiling; strength:kind; weakness:shy;","caacabe1-0abc-43af-92e2-2231248bff93","bc80cf384369115e08305157a7862815132c723ff13c4976124e693e17eb4d69"
"","46","pinky-monky-ponk","pinky monky ponk","She love to dance the honky tonk.","Female","hair: maroon; eyes:blue; teeth: none; clothing: linen; accessories:none; expression: smiling; strength:brave; weakness:chips;","bd6a4b38-543e-40fa-9153-f7e1a947ebb1","0e9261450136c29226109422cd506b780fa073d68c5f5c3ff7866b2c8c5927cc"
"","47","wanjiru-hippie-glitter","wanjiru hippie glitter","A hippie that loves her glitters.","Female","hair: blue; eyes:brown; teeth: none; clothing: wool; accessories:none; expression: smiling; strength:none; weakness:babies;","683f0d27-3cb4-4948-b1b5-09f10bee575a","af05da6f3eca3de0248b03a0ee1546297a61640caa6a097094715fbf1cec7ee3"
"","48","njoki-binary-coder","njoki binary coder","She codes with the best and tops the set.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:none; weakness:none;","9b59bdb4-0c6c-4107-9d72-6d38d308edb4","894dd19a87f448e14280aea3e006d01be0454438c026fd6200d326d12fa43960"
"","49","wangu-calaba-hustler","wangu calaba hustler","She's a mean hustler so be careful.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:flying;","67f7da93-3925-4def-b660-58f558c14a19","64339bf71ed4774e2128e7b85d92c9b08620a67481925c1b6b6560a26dd28d7d"
"","50","lulu-dey-kpako","lulu dey kpako","She's as skinny as she is beautiful.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:loving; weakness:makeup;","23b6c38f-ab84-4565-bfe9-d9eb019c9f29","8cd6e368daf04eb111f31f36bba2a62435fbf830f0bcbf158378e0f8da6380db"
"","51","kiki-cala-flier","kiki cala flier","She flies first class and gets the best deals.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:kittens;","d24aefff-c9fc-4ea9-a7cf-1b741076c822","f652e9d7097c3c05f3cb278f062bc0db424c3064c63f0f8121215809c43b3774"
"","52","purity-nft -investor","purity nft investor","She is an angel investor looking for the next big thing.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:clothes;","ee86ef77-4793-411a-88d3-ea54d84f6b24","b39a3737f33521b05767013da26f0beb50a8c1a487602918880a454a60c8ae3f"
"","53","june-binary-monk","june binary monk","She has a twin thats from Tibet .","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:money;","102c4cdb-f812-44fd-bf47-5065284c6075","6852fc862a5b7486199c7cbd2b5ebe7f9ee35446fefa36ca6ec38a60336d6b54"
"","54","aisha-crows-damsel","aisha crows damsel","She is always a damsel in distress.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:food;","c4071af3-b49e-4ad6-898b-7828f90465fb","7dac2b7007ef67c31b7327b620ea534d44ed9659254b64bd25cbee2c928cc57a"
"","55","bobo-crypto-lovely","bobo crypto lovely","She is a crpto guru you can trust all through.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:wate;","427ea0f5-30a3-4d70-a5bd-a6106409b83c","f9c44e14a93c89e7b2d0ef47c9ec4ab9bca59b17b216c43b8347e0a09228103d"
"","56","nell-light -embrace","nell light embrace","She is an empath; ready with a kind word or hug.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:love;","9dfe30b4-c71a-471c-8091-f5c4a238eed8","a6443b0c3cd47d1e1eeda9cd36f2ebec59d2cd0c7c087c88e7584de3b168465e"
"","57","rachel-mood-silent","rachel mood silent","Introvert  to the core, a mysterious lady.","Female","hair: blue; eyes:brown; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:walls;","11450acd-f0d7-406f-bc18-bdb680404845","acd1d3ac48852dd906d5b6d2573bbd6b001d2343769adeb30f3789dcd4cd9a10"
"","58","nana-reflector-agent","nana reflector agent","She loves her chrome fashion stye.","Female","hair: pink; eyes:blue; teeth: none; clothing: ankara; accessories:none; expression: smiling; strength:brave; weakness:shy;","63bda633-bfca-4b28-823f-7772936b4103","8723d12bf118b969819042d92195e0a435d69a3211bd4066a57629ed8f5d1c29"
"","59","bree-busy-gossip","bree busy gossip","Never wisper your secrets to her, except you want the world to know.","Female","hair: blue; eyes:white; teeth: none; clothing: glitter; accessories:none; expression: frowm; strength:goodlistener; weakness:height;","4f5898d9-fc99-4053-a56c-b2ec1ef41347","c6bea80d86bfa57dd5c57cd2b9736624e25c4ed503643d92b135590a7bd54129"
"","60","jude-shadow-fighter","jude shadow fighter","A ninja warrior, the last samurai standing.","Female","hair: white; eyes:brown; teeth: none; clothing: ankara; accessories:chain; expression: smiling; strength:brave; weakness:water;","a47b2ed7-d4aa-4404-ac40-0ecea464cf3f","75bd3c63ba79e722682294a6ebd19090a394192a9de898b9404dd9e27a615893"
"TEAM GRIT","61","toy-soldier","toy soldier","A man stronger than an army.","Male","hair: bald;   eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: happy; strengths: powerful; weakness: sentimental;","fc8ea3ac-59d1-11ed-9b6a-0242ac120002","70b7d5d531cc0148fd46874be95de594315d5b8acf23416636fc4145ee798928"
"","62","pipey-rivers","pipey rivers","A man who loves the water so much and fixes it's path.","Male","hair:bald;    eyes: opened; teeth:none; clothing: overall; accessories: nose mask; strengths: calculative; weakness: public speaking;","58f69cae-59d1-11ed-9b6a-0242ac120002","e9a4e6ab5d6419cec9a31c4c973c53f7ada7dfc439c32fba5556cc18a83285bc"
"","63","phiri-of-zambia","phiri of zambia","An african woman with strength and beauty.","Female","hair: purple buns; eyes:nose; teeth: none; clothing: adire; accessories: sunglasses; expression: jiggy; strengths: free spirit; weakness: blind ;","24b537fa-59d3-11ed-9b6a-0242ac120002","e52d3a265da6d5ffbff7167f7314b64b65a1a86942203d0b1011064cc10058f6"
"","64","patrick-of-bikinibottom","patrick of bikinibottom","A white man who loves the african culture and associates with their dressing.","Male","hair: bald;    eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: confused; strengths: adaptation; weakness: fluency;","064c7b84-59d3-11ed-9b6a-0242ac120002","b7b4e9fe7b6b390f7118b7f55dd79c6e2a2b3dc6954b1ea87c357a4efa567e9e"
"","65","nobuhle-of-zulu","nobuhle of zulu","A woman; well endowed with beauty.","Female","hair: brown bun; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses; expression: astonished; strengths: cool headed; weakness: pressure;","1ee5b1ce-59d3-11ed-9b6a-0242ac120002","68083d30a2330805a5e70f3c40c4277bd311999822ff1369e3c85ae865abff5c"
"","66","nkosazana-of-xhosa","nkosazana of xhosa","An african princess; always proud of her culture.","Female","hair: ginger afro; eyes:none; teeth: gap teeth; clothing:umbaco; accessories: sunglasses; expression: fufilled; strengths: confidence; weakness: endurance;","2f1a1724-59d3-11ed-9b6a-0242ac120002","d15caa7aef044369a82a0f7d29ddea44bd0113c3774652aaf24cae189b3e231d"
"","67","mandla-of-zulu","mandla of zulu","A simple and introverted who keeps to himself.","Male","hair: bald; eyes: opened; teeth: none; clothing: eshowe; accessories: nose mask; expression: irritated; strength: strong willed; weakness: relationship;","d04553b2-59d7-11ed-9b6a-0242ac120002","c1fa90478bab8ad8bce2194606a4b3038a25ec5b91fb80f03b48e8c262ef834e"
"","68","john-doe","john doe","A principled guy who is conscious of his health and ensures protection from infection.","Male","hair: bald; eyes: opened; teeth: none; clothing: ankara; accessories: nose mask; expressions: cold; strength: cleaniness; weakness: perfectionist;","5d19795e-59d2-11ed-9b6a-0242ac120002","f1d662fbad404bc265af57f16a3a68cddb31a640c6a8398f55006b2125ab0770"
"","69","ghost-of-power","ghost of power","A woman; stronger than ten men combined.","Female","hair: black tied with scalf; eyes: none; teeth: none; clothing: iqoyi; accessories: sunglasses and pipe; espression: ruthless; strength: badass; weakness: cancer;","29c764ca-59d3-11ed-9b6a-0242ac120002","d54db0db5b65918b2999cd7728f3ae1a1fa0ebe8a30bd47205c10a4796264541"
"","70","freida","freida","A man who is always peaceful.","Male","hair: bald; eyes: closed; teeth: none; clothing: overall; accessories: nose mask; expression: calm; strength: peaceful; weakness: anger;","ee671c4a-59d2-11ed-9b6a-0242ac120002","1d9e4b9fe5383bed3a5befb1ca6e67adbdc358eaa39b6e71e2a012ad7a7a4ff9"
"","71","flamboyant-tree","flamboyant tree","A beautiful african woman; billionaire in the making.","Female","hair: one bun dark brown; eyes: none; teeth: none; clothing: kente; accessories: sunglasses; expression: happy; strength: beauty; weakness: lover girl;","380e4990-59d3-11ed-9b6a-0242ac120002","2d2561cfc1faefb8f70fe1bf67b151621f591b90af7353c05e807b17bc8cae37"
"","72","david-of-accra","david of accra","A combatant who fights and defends his people","Male","hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: angry; strength: super powerful; weakness: sleeping;","1c1ef1b4-59d1-11ed-9b6a-0242ac120002","febcd46f5ca090777a4270f2d3f855850250f7a29ea6d87a0f5c874aeba26c92"
"","73","cally-lily","cally lily","A man who is a breath of fresh air.","Male","hair: male; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: confused; strength: calm; weakness: sun;","82bba87c-59d1-11ed-9b6a-0242ac120002","28f20b04287d8d9f4236bb99437b5e51acc5df5962a197997d3a800a81994a4e"
"","74","bubune-of-accra","bubune of accra","A man with honor; always conscious of his health.","Male","hair: bald; eyes: closed; teeth: none; clothing: kente; accessories: nose mask; expression: happy;  strength: clean; weakness: foodie;","faa4b530-59d2-11ed-9b6a-0242ac120002","713f740985f56ac776d59e5f032eb2b9fa02ca344a1950b492ddf5291179539b"
"","75","bediako-of-accra","bediako of accra","A strong man; always ready to fight for what is right.","Male","hair: bald; eyes: opened; teeth: none; clothing: balck with kente; accessories: nose mask; expression: suspicious;  strength: activist; weakness: irrational;","fb6e8222-59d0-11ed-9b6a-0242ac120002","439f59875270fa2494785882a9e35fa9d4e25b92dbe333d5a0bc94d1d1690373"
"","76","avatar-aang","avatar aang","A man who is ready to save the world.","Male","hair: bald; eyes: opened; teeth: none; clothing: kaftan; accessories: nose mask; expression: soothing; strength: mind games; weakness: insomia;","169f93a0-59d2-11ed-9b6a-0242ac120002","14ee0517f90a8ade0acc2ef3655c0c3d0575fae5c2b8eca1d4b9ec3e5b3d48d7"
"","77","argus-greek","argus greek","A man who you will always find on the look out.","Male","hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: suspicious; strength: strong;  weakness: lateness;","e7f26b26-59d2-11ed-9b6a-0242ac120002","6c8ebc87fdc5e4de33f0c5cc9ff18ba0d8fd6bd31058ae44e41aa09ae0b90577"
"","78","amahle-of-zulu","amahle of zulu","A traditional man; feeling fulfilled.","Male","hair: bald; eyes: closed; teeth: none; clothing: ankara print; accessories: nose mask; expression: excited; strength: conversationist; weakness: traditionalist;","169f93a0-59d2-11ed-9b6a-0242ac120002","c2650763f2b0b8a474fa987fb5fc2c9e53b2ccfc0d52b2f92fba249bacf43d9b"
"","79","agnar-ole","agnar ole","A man who feels like an outcast and always has a battle with his mind","Male","hair: bald; eyes: opened; teeth: none; clothing: overall; accessories: nose mask; expression: furious; strength: strong willed; weakness: crying;","f3f11fd0-59d2-11ed-9b6a-0242ac120002","01d168c21f6a51bc7e94c1b3227b5778f29c092dc1a1a1f9b002fd359f0affd9"
"","80","adom-kulu","adom kulu","A ghanaian model; proud of his culture","Male","hair: bald; eyes: opened; teeth: none; clothing: kente; accessories: nose mask; expression: irritated;  strength: height;  weakness: pride;","00f6589e-59d3-11ed-9b6a-0242ac120002","200d0f4fd701ff209727ee74ad5f93ce2bbef4a5af7e708a48ed3c4ce63a1bbf"
"TEAM PRYBAR","81","segun-baller","segun baller","A man who loves to have fun.","Male","hair: black; eyes: black; teeth: none; clothing: kente; accessories: glasses; expression: cool; strength: jovial; weakness: nonchalant;","58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1","c12aadb19bcc60c2b7a64468668ffb8752a8a109554d2e9bbe82e23c741b121a"
